"description","tags","contributors","result","ref_original","ref_replication"
"power decreases perspective taking…","","","Failure","Galinsky, A. D., Magee, J. C., Inesi, M. E., & Gruenfeld, D. H. (2006). Power and perspectives not taken. Psychological science, 17(12), 1068-1074. Study 2a","Ebersole, C. R., Atherton, O. E., Belanger, A. L., Skulborstad, H. M., Allen, J., Banks, J., Baranski, E., Bernstein, M. J., Bonfiglio, D. B. V., Boucher, L., Brown, E. R., Budiman, N. I., Cairo, A. H., Capaldi, C. A., Chartier, C. R., Chung, J. M., Cicero, D. C., Coleman, J. A., Conway, J., . . . Nosek, B. A. (2016). Many Labs 3: Evaluating participant pool quality across the academic semester via replication. Journal Of Experimental Social Psychology, 67, 68–82."
"power decreases perspective taking…","","","Failure","Galinsky, A. D., Magee, J. C., Inesi, M. E., & Gruenfeld, D. H. (2006). Power and perspectives not taken. Psychological science, 17(12), 1068-1074. Study 2a","Ebersole, C. R., Atherton, O. E., Belanger, A. L., Skulborstad, H. M., Allen, J., Banks, J., Baranski, E., Bernstein, M. J., Bonfiglio, D. B. V., Boucher, L., Brown, E. R., Budiman, N. I., Cairo, A. H., Capaldi, C. A., Chartier, C. R., Chung, J. M., Cicero, D. C., Coleman, J. A., Conway, J., . . . Nosek, B. A. (2016). Many Labs 3: Evaluating participant pool quality across the academic semester via replication. Journal Of Experimental Social Psychology, 67, 68–82."
"power decreases perspective taking…","","","Failure (reversal)","Galinsky, A. D., Magee, J. C., Inesi, M. E., & Gruenfeld, D. H. (2006). Power and perspectives not taken. Psychological science, 17(12), 1068-1074. Study 2a","Ebersole, C. R., Atherton, O. E., Belanger, A. L., Skulborstad, H. M., Allen, J., Banks, J., Baranski, E., Bernstein, M. J., Bonfiglio, D. B. V., Boucher, L., Brown, E. R., Budiman, N. I., Cairo, A. H., Capaldi, C. A., Chartier, C. R., Chung, J. M., Cicero, D. C., Coleman, J. A., Conway, J., . . . Nosek, B. A. (2016). Many Labs 3: Evaluating participant pool quality across the academic semester via replication. Journal Of Experimental Social Psychology, 67, 68–82."
"power decreases perspective taking…","","","Failure","Galinsky, A. D., Magee, J. C., Inesi, M. E., & Gruenfeld, D. H. (2006). Power and perspectives not taken. Psychological science, 17(12), 1068-1074. Study 2a","Ebersole, C. R., Atherton, O. E., Belanger, A. L., Skulborstad, H. M., Allen, J., Banks, J., Baranski, E., Bernstein, M. J., Bonfiglio, D. B. V., Boucher, L., Brown, E. R., Budiman, N. I., Cairo, A. H., Capaldi, C. A., Chartier, C. R., Chung, J. M., Cicero, D. C., Coleman, J. A., Conway, J., . . . Nosek, B. A. (2016). Many Labs 3: Evaluating participant pool quality across the academic semester via replication. Journal Of Experimental Social Psychology, 67, 68–82."
"This study examined whether women's olfactory preferences for men's scent would tend to favour the scent of more symmetrical men, most notably during the women's fertile period.","developmental instability; fluctuating asymmetry; mate choice; menstrual cycle; olfaction; attractiveness, mate preferences,, oral contraceptives, sexual selection","Paul Crowe","OS not significant","Gangestad, S. W., & Thornhill, R. (1998). Menstrual cycle variation in women's preferences for the scent of symmetrical men. Proceedings. Biological sciences, 265(1399), 927–933.","Jones, B. C., Hahn, A. C., Fisher, C. I., Wang, H., Kandrik, M., Han, C., Fasolt, V., Morrison, D., Lee, A. J., Holzleitner, I. J., O’Shea, K. J., Roberts, S. C., Little, A. C., & DeBruine, L. M. (2018). No Compelling Evidence that Preferences for Facial Masculinity Track Changes in Women’s Hormonal Status. Psychological Science, 29(6), 996-1005."
"Across-notation automatic numerical processing.","Association Learning, Attention, Automatism [psychology], Comprehension, Discrimination (Psychology), Humans, Multilingualism, Paired-Associate Learning, Pattern Recognition, Visual, Problem Solving, Psychophysics, Reaction Time, Size Perception","Shaki","Success","Ganor-Stern, D., & Tzelgov, J. (2008). Across-notation automatic numerical processing. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(2), 430-437.","Shaki, S. (2023, September 28). Replication of D Ganor-Stern, J Tzelgov (2008, JEPLMC 34(2), Exp. 2). Retrieved from osf.io/vmipw"
"Perceiving economic inequality in everyday life decreases tolerance to inequality","","LR","Success","García-Castro, J. D., Rodríguez-Bailón, R., & Willis, G. B. (2020). Perceiving economic inequality in everyday life decreases tolerance to inequality. Journal of Experimental Social Psychology, 90, 104019.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Need for Cognition moderates the effect of affective expectations on experience (no expectations and NFC)","affective expectations, assimilation and contrast, need for cognition","Röseler, Lukas","OS not significant","Geers, A. L., & Lassiter, G. D. (2003). Need for cognition and expectations as determinants of affective experience. Basic and Applied Social Psychology, 25(4), 313-325. Study 1","Röseler, L., Doetsch, C. A., Förster, N., Bruzsa, A., Deublein, M., Rieger, E., Schmidt, C., Seitz, A., & Wild, A. (2024). No Evidence for the Affective Expectation Model: Replication of Geers and Lassiter  (2003)."
"Need for Cognition moderates the effect of affective expectations on experience (negative expectations and NFC)","affective expectations, assimilation and contrast, need for cognition","Röseler, Lukas","OS not significant","Geers, A. L., & Lassiter, G. D. (2003). Need for cognition and expectations as determinants of affective experience. Basic and Applied Social Psychology, 25(4), 313-325. Study 1","Röseler, L., Doetsch, C. A., Förster, N., Bruzsa, A., Deublein, M., Rieger, E., Schmidt, C., Seitz, A., & Wild, A. (2024). No Evidence for the Affective Expectation Model: Replication of Geers and Lassiter  (2003)."
"Need for Cognition moderates the effect of affective expectations on experience (positive expectations and NFC)","affective expectations, assimilation and contrast, need for cognition","Röseler, Lukas","OS not significant","Geers, A. L., & Lassiter, G. D. (2003). Need for cognition and expectations as determinants of affective experience. Basic and Applied Social Psychology, 25(4), 313-325. Study 1","Röseler, L., Doetsch, C. A., Förster, N., Bruzsa, A., Deublein, M., Rieger, E., Schmidt, C., Seitz, A., & Wild, A. (2024). No Evidence for the Affective Expectation Model: Replication of Geers and Lassiter  (2003)."
"Need for Cognition moderates the effect of affective expectations on experience (interaction effect)","affective expectations, assimilation and contrast, need for cognition","Röseler, Lukas","Failure","Geers, A. L., & Lassiter, G. D. (2003). Need for cognition and expectations as determinants of affective experience. Basic and Applied Social Psychology, 25(4), 313-325. Study 1","Röseler, L., Doetsch, C. A., Förster, N., Bruzsa, A., Deublein, M., Rieger, E., Schmidt, C., Seitz, A., & Wild, A. (2024). No Evidence for the Affective Expectation Model: Replication of Geers and Lassiter  (2003)."
"Analytic thinking promotes religious disbelief","Social Science Replication Project, Science, Nature, Human Behavior","Lukas Röseler","Failure","Gervais, W. M., & Norenzayan, A. (2012). Analytic thinking promotes religious disbelief. Science, 336(6080), 493-496.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"Schema induction and analogical transfer","","LR","Success","Gick, M. L., & Holyoak, K. J. (1983). Schema induction and analogical transfer. Cognitive psychology, 15(1), 1-38.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Vertical position and power","Many Labs 2","Lukas Röseler","Failure","Giessner, S. R., & Schubert, T. W. (2007). High in the hierarchy: How vertical location and judgments of leaders’ power are interrelated. Organizational Behavior and Human Decision Processes, 104, 30–44.  .obhdp.2006. Study 1a","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490."
"Due to perceptions of (in)appropriateness, the use of smileys may backfire and produce less favorable perceptions of competence in a formal work-related setting, yet more favorable perceptions of warmth in an informal work-related setting.","computer-mediated communication, impression formation, warmth, competence,","Pavlović, Zoran","Success","Glikson, E., Cheshin, A., & Kleef, G. A. V. (2018). The dark side of a smiley: Effects of smiling emoticons on virtual first impressions. Social Psychological and Personality Science, 9(5), 614-625.","Lai, L., & Mayiwar, L. (2023). The Dark Versus Bright Side of a Smiley: A Preregistered Replication of Experiment 3 in Glikson et al. (2018) “The Dark Side of a Smiley.” Collabra: Psychology, 9(1)."
"Due to perceptions of (in)appropriateness, the use of smileys may backfire and produce less favorable perceptions of competence in a formal work-related setting, yet more favorable perceptions of warmth in an informal work-related setting.","computer-mediated communication, impression formation, warmth, competence,","Pavlović, Zoran","Failure","Glikson, E., Cheshin, A., & Kleef, G. A. V. (2018). The dark side of a smiley: Effects of smiling emoticons on virtual first impressions. Social Psychological and Personality Science, 9(5), 614-625.","Lai, L., & Mayiwar, L. (2023). The Dark Versus Bright Side of a Smiley: A Preregistered Replication of Experiment 3 in Glikson et al. (2018) “The Dark Side of a Smiley.” Collabra: Psychology, 9(1)."
"Due to perceptions of (in)appropriateness, the use of smileys may backfire and produce less favorable perceptions of competence in a formal work-related setting, yet more favorable perceptions of warmth in an informal work-related setting.","computer-mediated communication, impression formation, warmth, competence,","Pavlović, Zoran","Failure","Glikson, E., Cheshin, A., & Kleef, G. A. V. (2018). The dark side of a smiley: Effects of smiling emoticons on virtual first impressions. Social Psychological and Personality Science, 9(5), 614-625. , Study 3.","Lai, L., & Mayiwar, L. (2023). The Dark Versus Bright Side of a Smiley: A Preregistered Replication of Experiment 3 in Glikson et al. (2018) “The Dark Side of a Smiley.” Collabra: Psychology, 9(1)."
"Avoiding overhead aversion in charity","Social Science Replication Project, Science, Nature, Human Behavior","Lukas Röseler","Success","Gneezy, U., Keenan, E. A., & Gneezy, A. (2014). Avoiding overhead aversion in charity. Science, 346(6209), 632-635.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"Lists learned underwater were recalled significantly better underwater, and lists learned on dry land were recalled significantly better on dry land.","Memory, context","Sharan Maiya","OS not significant","Godden, D. R., & Baddeley, A. D. (1975). Context-dependent memory in two natural environments: On land and underwater. British Journal of Psychology, 66(3), 325–331.",""
"Lists learned underwater were recalled significantly better underwater, and lists learned on dry land were recalled significantly better on dry land.","Memory, context","Sharan Maiya","OS not significant","Godden, D. R., & Baddeley, A. D. (1975). Context-dependent memory in two natural environments: On land and underwater. British Journal of Psychology, 66(3), 325–331.",""
"Are older adults more willing to donate?","","LR","Failure","Gong, X., Zhang, F., & Fung, H. H. (2019). Are older adults more willing to donate? The roles of donation form and social relationship. The Journals of Gerontology: Series B, 74(3), 440-448.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.","Attention, Conflict (Psychology), Cues, Goals, Humans, Inhibition (Psychology), Intention, Memory, Short-Term, Orientation, Pattern Recognition, Visual, Psychomotor Performance, Reaction Time","Perugini","Success","Goschke, T., & Dreisbach, G. (2008). Conflict-triggered goal shielding: response conflicts attenuate background monitoring for prospective memory cues. Psychological science, 19(1), 25–32.","Costantini, G., & Perugini, M. (2023, September 28). Replication of Goschke & Dreisbach (2008, PS). Retrieved from osf.io/bk53t"
"Enterprising occupational interests are positvely correlated with extraversion.","Big Five, life outcomes, metascience, personality traits, replication, open data, open materials, preregistered","Kaiser, Leonard","Success","Gottfredson, G. D., Jones, E. M., & Holland, J. L. (1993). Personality and vocational interests: The relation of Holland’s six interest dimensions to five robust dimensions of personality. Journal of Counseling Psychology, 40, 518-524.","Soto, C. J. (2019). How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project. Psychological Science, 30(5), 711-727."
"Enterprising occupational interests are positvely correlated with agreeableness.","Big Five, life outcomes, metascience, personality traits, replication, open data, open materials, preregistered","Kaiser, Leonard","Success","Gottfredson, G. D., Jones, E. M., & Holland, J. L. (1993). Personality and vocational interests: The relation of Holland’s six interest dimensions to five robust dimensions of personality. Journal of Counseling Psychology, 40, 518-524.","Soto, C. J. (2019). How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project. Psychological Science, 30(5), 711-727."
"Social occupational interests are positvely correlated with extraversion.","Big Five, life outcomes, metascience, personality traits, replication, open data, open materials, preregistered","Kaiser, Leonard","Success","Gottfredson, G. D., Jones, E. M., & Holland, J. L. (1993). Personality and vocational interests: The relation of Holland’s six interest dimensions to five robust dimensions of personality. Journal of Counseling Psychology, 40, 518-524.","Soto, C. J. (2019). How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project. Psychological Science, 30(5), 711-727."
